회사명,시가총액,주식수,액면가,업종명,회사코드,현재가,전날종가,고가,저가,시가,PER,추정PER,PBR,동일업종PER,17.12매출액(억원),18.12매출액(억원),19.12매출액(억원),20예상매출액(억원),19.2Q매출액(억원),19.3Q매출액(억원),19.4Q매출액(억원),20.1Q매출액(억원),20.2Q매출액(억원),20.3Q예상매출액(억원),17.12영업이익(억원),18.12영업이익(억원),19.12영업이익(억원),20예상영업이익(억원),19.2Q영업이익(억원),19.2영업이익(억원),19.4Q영업이익(억원),20.1Q영업이익(억원),20.2Q영업이익(억원),20.3Q예상영업이익(억원),17.12당기순이익(억원),18.12당기순이익(억원),19.12당기순이익(억원),20예상당기순이익(억원),19.2Q당기순이익(억원),19.3Q당기순이익(억원),19.4Q당기순이익(억원),20.1Q당기순이익(억원),20.2Q당기순이익(억원),20.3Q예상당기순이익(억원),17.12영업이익률(%),18.12영업이익률(%),19.12영업이익률(%),20예상영업이익률(%),19.2Q영업이익률(%),19.3Q영업이익률(%),19.4Q영업이익률(%),20.1Q영업이익률(%),20.2Q영업이익률(%),20.3Q예상영업이익률(%),17.12ROE(%),18.12ROE(%),19.12ROE(%),20예상ROE(%),19.2QROE(%),19.3QROE(%),19.3QROE(%),19.4QROE(%),20.2QROE(%),20.3Q예상ROE(%),17.12부채비율(%),18.12부채비율(%),19.12부채비율(%),20예상부채비율(%),19.2Q부채비율(%),19.3Q부채비율(%),19.4Q부채비율(%),20.1Q부채비율(%),20.2Q부채비율(%),20.3Q예상부채비율(%),17.12EPS(원),18.12EPS(원),19.12EPS(원),20예상EPS(원),19.2QEPS(원),19.3QEPS(원),19.4QEPS(원),20.1QEPS(원),20.2QEPS(원),20.3Q예상EPS(원),17.12PER(배),18.12PER(배),19.12PER(배),20예상PER(배),19.2QPER(배),19.3QPER(배),19.4QPER(배),20.1QPER(배),20.2QPER(배),20.3Q예상PER(배),17.12BPS(원),18.12BPS(원),19.12BPS(원),20예상BPS(원),19.2QBPS(원),19.3QBPS(원),19.4QBPS(원),20.1QBPS(원),20.2QBPS(원),20.3Q예상BPS(원),17.12PBR(배),18.12PBR(배),19.12PBR(배),20예상PBR(배),19.2QPBR(배),19.3QPBR(배),19.4QPBR(배),20.1QPBR(배),20.2QPBR(배),20.3Q예상PBR(배),종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인
LS네트웍스,,"78,803,016","5,000","섬유,의류,신발,호화품",'000680,"2,040","2,030","2,060","2,045","2,020",N/A,,0.29,23.84,"4,434","4,459","4,028",,"1,228",798,917,639,904,,28,38,-215,,-54,-46,-130,-52,-39,,206,163,-691,,-15,-647,-162,-46,72,,0.63,0.86,-5.35,,-4.38,-5.78,-14.16,-8.13,-4.29,,3.36,2.58,-11.94,,2.14,-9.02,-11.94,-14.93,-13.96,,104.46,99.58,124.89,,109.34,118.75,124.89,128.14,134.53,,261,207,-877,,-19,-821,-205,-59,92,,11.08,11.99,-2.64,,19.9,-3.67,-2.64,-1.3,-2.14,,"8,474","8,683","7,067",,"8,170","7,290","7,067","7,004","7,102",,0.34,0.29,0.33,,0.41,0.34,0.33,0.21,0.3,,"2,040","2,030","2,030","2,010","2,060","2,070","2,035","2,025","2,020","2,055","1,990","2,280","2,315","2,280","2,290","2,200","2,220","2,220","2,170","2,165","48,464","62,027","75,035","70,908","61,163","83,965","41,109","77,984","74,773","606,351","202,736","52,193","188,375","114,136","319,347","73,168","65,100","129,802","66,180","66,671",-31,-93,840,365,14,-36,-23,344,70,50,-189,-212,"-1,004",-278,-385,-97,"1,064",-444,-501,-550,"8,714","9,286","6,491","-5,750","-2,129",563,"-6,459","5,622","-12,260","-27,761","24,689","-4,652","10,691","7,950","-10,689","-3,961","-8,711","14,958","7,996","9,095"
SK,,"70,360,297",200,복합기업,'034730,"214,500","214,000","215,500","213,500","210,500",N/A,41,0.63,19.64,"906,128","1,001,616","992,646","853,053","251,476","249,579","236,098","237,261","187,809","208,294","57,450","46,838","39,499","11,196","11,648","10,049","4,947","-9,227","1,890","9,900","50,665","61,511","16,072","5,536","4,849","8,612","-7,203","-8,324","1,176","5,762",6.34,4.68,3.98,1.31,4.63,4.03,2.1,-3.89,1.01,4.75,12.53,14.88,4.31,2.2,9.95,9.39,4.31,0.4,-0.21,,139.93,134.75,153,,140.58,140.18,153,163.12,155.9,,"23,650","31,767","10,113","5,291","1,655","6,406","-4,439","-2,643",157,"3,167",11.97,8.18,25.91,40.45,10.04,9.07,25.91,171.11,-560.37,67.58,"242,249","294,873","315,608","329,745","312,121","323,737","315,608","323,151","338,755",,1.17,0.88,0.83,0.65,0.74,0.63,0.83,0.52,0.86,,"214,500","214,000","224,000","215,000","218,500","222,000","212,000","211,500","209,500","222,500","222,500","233,500","237,500","240,000","240,500","244,500","242,500","236,500","240,500","229,500","186,848","487,729","446,589","185,905","192,270","237,042","199,536","327,055","396,676","193,504","304,434","287,596","321,381","270,686","285,097","487,359","522,264","501,913","721,764","464,562","-3,195","-37,511","30,423","-14,955","-7,637","3,318","-7,612","4,008","-32,303","-11,059","12,574","15,672","-17,304","-22,369","-4,316","3,039","18,736","-3,957","65,428","21,389","-9,639","-105,026","-18,756","-3,223","-18,136","1,808","9,436","37,687","11,840","12,590","-21,714","25,766","11,923","75,412","6,179","-43,277","50,187","-6,226","-41,436","19,689"
SK디스커버리,,"19,037,855","5,000",석유와가스,'006120,"76,700","77,400","80,000","78,600","74,400",5.97,,0.85,-11.29,"64,159","69,392","50,211",,"13,150","10,856","13,263","12,593","10,557",,821,"1,000","1,739",,535,649,417,822,542,,"8,012",977,"2,502",,"1,077",152,"1,283",926,"1,572",,1.28,1.44,3.46,,4.07,5.98,3.14,6.53,5.13,,53.52,5.56,11.52,,9.95,6.87,11.52,15.29,15.52,,135.66,107.27,115.22,,119.48,111.88,115.22,116.8,106.49,,"28,731","3,936","8,844",,"5,159",348,"3,335","2,948","6,222",,3.62,6.63,2.96,,3.81,4.4,2.96,1.8,3.04,,"90,161","71,115","82,553",,"75,158","75,257","82,553","84,367","90,555",,1.15,0.37,0.32,,0.36,0.29,0.32,0.25,0.43,,"76,700","77,400","70,200","69,000","70,800","72,900","72,000","69,300","69,500","74,000","71,200","79,900","80,000","81,300","77,300","67,200","51,700","51,000","50,100","50,700","852,153","1,274,316","310,500","238,169","249,063","349,388","270,618","550,895","528,524","632,329","889,591","1,753,349","1,315,213","4,571,997","13,389,757","4,334,718","506,874","464,774","595,809","915,598","10,991","109,963","-1,476","-4,106","-5,295","5,327","3,773","-5,628","-15,567",-923,"-67,871","-41,649","-8,912","-6,976","100,260","30,321","30,906","35,833","5,635","51,103","-84,345","53,177","28,487","-1,213","-5,883","-26,133","-5,126","10,787","-24,835","22,232","-6,017","-72,381","-36,283","30,629","-238,182","145,613","34,850","44,540","-36,342",-76
강남제비스코,,"6,500,000","1,000",건축자재,'000860,"15,150","15,050","15,250","15,100","15,000",7.56,,0.19,-80.24,"3,000","3,070","3,325",,913,794,856,782,826,,151,17,-20,,43,-27,-41,-13,28,,232,388,174,,72,22,40,24,75,,5.03,0.55,-0.59,,4.7,-3.4,-4.76,-1.65,3.39,,4.89,7.71,2.8,,7.46,2.37,2.8,2.44,2.47,,20.57,19.71,19.8,,22.27,19.81,19.8,22.82,22.4,,"3,567","5,942","2,250",,"1,042",294,350,272,"1,087",,10.5,4.21,9.05,,4.46,11.84,9.05,7.28,7.07,,"74,604","79,596","81,019",,"80,539","80,777","81,019","80,662","81,811",,0.5,0.31,0.25,,0.32,0.28,0.25,0.18,0.17,,"15,150","15,050","14,800","14,500","14,850","14,850","14,650","14,800","14,750","15,350","15,200","15,650","15,650","15,550","15,450","15,400","15,200","15,200","15,050","15,100","12,355","38,066","18,825","24,561","6,637","78,449","15,265","15,431","15,725","3,289","23,406","17,552","14,203","9,874","12,127","24,286","5,862","14,401","7,990","8,722","-1,871",-17,-267,-193,-257,"-71,058","-3,327","-2,405","-4,162",-620,-29,-238,-568,-669,-213,-657,-86,4,"-1,772",-186,"1,633","2,217","3,343",81,490,"7,462",-740,"1,043","-2,376",-186,"-1,356",948,-370,-328,"-1,722",-451,-121,198,-323,24
경동나비엔,,"12,739,510","1,000",가정용기기와용품,'009450,"50,800","51,800","51,900","51,900","50,200",16.51,,2.01,20.83,"6,847","7,267","7,743","8,850","1,601","1,820","2,672","1,832","1,688",,478,408,448,710,75,92,203,125,137,,270,247,279,560,73,92,84,91,126,,6.98,5.61,5.79,8.02,4.69,5.05,7.59,6.84,8.11,,10.73,9.23,9.59,17.1,7.7,9.78,9.59,11.55,12.94,,96.37,108.35,102.56,,110.8,113.72,102.56,109.8,117.13,,"2,074","1,943","2,186","4,347",572,720,658,713,986,,24.73,21.38,21.31,11.92,24.58,18.17,21.31,11.57,13.5,,"20,319","22,170","23,829","26,243","22,756","23,499","23,829","24,302","25,234",,2.52,1.87,1.96,1.97,1.83,1.7,1.96,1.27,1.65,,"50,800","51,800","52,200","53,100","54,000","52,500","52,000","51,300","49,050","52,300","52,500","55,500","56,600","54,300","53,800","52,200","52,800","50,500","50,400","51,300","68,959","74,012","51,691","66,627","89,710","66,834","55,198","73,407","125,891","82,130","97,430","111,816","281,308","176,625","120,963","85,720","112,023","35,710","54,087","51,599","-19,329","-9,261","-9,952",73,"12,041","3,578",599,"10,175","-6,584",-236,-941,"-6,115","-7,161","35,247","-9,380","-15,187",741,-602,"-17,753",-119,"1,518","7,266","-10,496","-7,866","-7,248","9,188","9,943",-364,"3,454","19,851","-1,775","-7,970","9,606","-3,369","1,776","-7,136","14,324","3,325",-87,"12,014"
광명전기,,"43,337,615",500,전기장비,'017040,"1,715","1,715","1,725","1,710","1,705",9.37,,0.74,-42.59,"1,016","1,126","1,319",,438,221,356,266,357,,22,29,80,,25,-2,46,11,16,,-20,27,71,,26,-,36,15,21,,2.16,2.53,6.06,,5.68,-0.75,12.88,4.05,4.49,,-2.2,2.93,8.53,,4.84,3.36,8.53,8.86,8.13,,58.01,53.75,48.69,,61.36,61.28,48.69,48.86,45.92,,-45,60,185,,61,8,88,38,49,,-57.51,43.53,12.33,,24.42,33.72,12.33,7.7,10.26,,"2,032","2,078","2,255",,"2,164","2,169","2,255","2,279","2,333",,1.27,1.26,1.01,,1.16,1.12,1.01,0.66,0.8,,"1,715","1,715","1,710","1,695","1,730","1,725","1,670","1,660","1,635","1,740","1,730","1,845","1,860","1,860","1,870","1,860","1,880","1,900","1,900","1,905","101,745","119,364","113,792","192,695","136,777","137,850","166,050","134,966","493,638","129,912","390,173","259,015","145,127","159,403","206,498","178,555","256,996","153,050","129,009","162,055",810,"1,791","1,801",353,"3,558","3,567",-42,159,1,-42,-41,-50,-571,608,-45,-74,-77,-295,"1,219",720,"-3,650","-5,123","-1,509","-27,726","6,794","19,424","28,139","17,316","-30,364","-14,615","-40,193","-4,741","11,144","-14,695","-3,858","-21,370",-444,"4,495","-25,397","15,874"
그린케미칼,,"24,000,000",500,화학,'083420,"3,945","4,125","4,215","4,205","3,910",9.03,,0.83,77.78,"2,537","2,541","2,319",,413,625,656,665,541,,35,34,78,,-11,32,38,37,44,,25,25,56,,-10,23,27,29,26,,1.39,1.32,3.37,,-2.76,5.15,5.76,5.53,8.06,,2.24,2.32,5.17,,1.93,3.7,5.17,6.41,9.73,,77.94,76.31,72.19,,69.95,74.22,72.19,73.31,60.02,,105,105,233,,-44,96,114,121,106,,34.29,28.65,14.86,,36.93,17.34,14.86,10.09,8.2,,"4,573","4,544","4,597",,"4,476","4,532","4,597","4,606","4,729",,0.79,0.66,0.75,,0.7,0.63,0.75,0.63,0.76,,"3,945","4,125","3,860","3,670","3,665","3,635","3,610","3,600","3,515","3,630","3,635","3,640","3,670","3,635","3,605","3,550","3,545","3,430","3,425","3,485","314,141","546,164","403,441","143,487","138,782","78,975","109,729","148,461","160,325","71,607","148,029","137,895","115,762","91,303","89,071","193,744","214,268","33,784","66,807","123,942",-12,-35,"-2,141",200,-2,-24,-24,90,4,"2,850",-37,-88,-320,-69,-56,-31,-44,-401,-133,-159,"-36,683","18,978","58,219","21,547","13,376","15,192","31,628","37,998","21,477","18,935","29,589","13,691","8,520","7,434","9,058","-12,574","19,590","-2,104",910,"16,578"
금호석유,,"30,467,691","5,000",화학,'011780,"98,700","100,500","101,500","100,000","97,800",11.29,8,0.99,77.78,"50,648","55,849","49,779","44,916","12,972","12,200","11,857","12,255","10,263","11,248","2,626","5,546","3,678","5,164","1,389",687,159,"1,331","1,201","1,441","2,176","5,031","2,947","4,069","1,153",476,179,"1,276",998,"1,087",5.18,9.93,7.39,11.5,10.71,5.63,1.34,10.87,11.71,12.81,12.34,23.45,11.84,14.95,17.43,13.81,11.84,12.16,10.99,,134.05,96.61,72.58,,86.84,76.41,72.58,73.73,68.52,,"6,377","14,667","8,796","12,521","3,440","1,420",534,"3,809","2,978","3,238",15.6,5.95,8.81,8.03,7.9,7.09,8.81,7.04,8.52,31.04,"66,048","84,137","94,221","106,821","91,667","93,175","94,221","95,307","99,235",,1.51,1.04,0.82,0.94,1.06,0.77,0.82,0.68,0.75,,"98,700","100,500","98,100","100,500","103,000","105,500","104,500","101,500","102,000","104,000","100,000","100,000","97,700","96,200","96,000","97,200","94,200","88,000","86,200","82,700","116,790","248,748","214,939","162,927","168,135","180,966","176,179","188,231","226,038","192,293","217,297","251,967","317,852","166,029","295,032","448,661","463,565","187,536","212,410","117,093","-17,603","41,996","-15,678",-635,"-39,690","-3,906","50,441","-18,894","1,602","11,565","7,008","19,088","-10,627","-7,748","3,908","-31,650","-28,406","-23,675","-39,516","-18,100","-19,761","-19,343","3,546","5,773","29,518","-2,152","-21,782","28,661","-2,909","37,959","94,284","60,517","-14,252","9,905","2,019","8,213","174,761","53,518","81,806",-130
깨끗한나라,,"37,240,693","1,000",종이와목재,'004540,"5,270","5,320","5,430","5,340","5,140",5.24,,1.07,-134,"6,599","6,263","5,942",,"1,474","1,506","1,452","1,509","1,503",,-253,-292,51,,-46,55,104,187,176,,-222,-336,-118,,-153,-50,181,135,117,,-3.83,-4.67,0.87,,-3.12,3.68,7.15,12.36,11.69,,-11.4,-18.84,-7.29,,-20.89,-20,-7.29,6.46,22.73,,204.65,243.17,231.35,,280.05,270.57,231.35,215.94,191.84,,-598,-899,-322,,-407,-135,475,356,309,,-6.95,-3.39,-7.41,,-2.84,-3.02,-7.41,10.5,3.58,,"4,949","4,594","4,263",,"3,924","3,788","4,263","4,619","4,927",,0.84,0.66,0.56,,0.62,0.62,0.56,0.66,0.73,,"5,270","5,320","5,630","5,580","5,200","4,360","4,410","4,355","4,480","4,255","4,690","3,990","4,030","3,945","4,030","4,035","4,085","4,020","4,000","4,090","771,881","1,553,234","2,392,196","6,914,624","10,064,139","792,612","1,102,980","3,805,599","5,093,061","4,152,615","4,777,996","450,500","247,088","313,887","212,199","248,075","281,844","255,209","371,291","344,592","2,743","-76,563","17,778","-22,695",-867,-16,-957,"-5,053","-9,738","45,768","97,890",-115,-488,-109,"-3,926",-158,431,-329,-305,-723,"81,024","-19,519","93,251","16,198","167,452","196,566","45,701","-74,739","-84,473","-359,686","-20,554","-37,737","76,406","-47,013","9,803","-13,716","35,603","85,733","3,095","-25,042"
남광토건,,"9,828,611","5,000",건설,'001260,"10,100","10,000","10,150","10,000","9,930",18.13,,1.76,6.45,"1,156","1,572","2,362",,581,631,711,506,576,,18,111,48,,4,26,3,17,25,,17,57,39,,-3,10,5,30,10,,1.58,7.09,2.04,,0.7,4.19,0.43,3.3,4.32,,4.05,12.37,7.58,,17.5,18.17,7.58,7.75,10.15,,284.24,203.19,283.12,,222.05,236.68,283.12,257.84,338.27,,173,582,393,,-28,99,46,308,104,,34.76,20.46,28.74,,15.76,15.19,28.74,20.7,18.13,,"4,414","5,002","5,384",,"5,243","5,324","5,384","5,692","5,740",,1.37,2.38,2.1,,2.54,2.54,2.1,1.55,1.76,,"10,100","10,000","10,050","9,980","10,200","10,350","10,100","10,150","10,000","10,500","10,300","11,200","11,600","12,250","12,250","10,950","10,750","10,950","10,750","10,800","28,860","45,779","44,382","77,797","41,794","53,654","33,125","53,508","122,697","67,640","122,998","111,308","155,927","527,401","741,306","90,882","59,319","80,875","22,753","61,861","2,083",-18,-496,58,-17,-8,-53,23,-3,13,2,"2,277",-329,-261,"-9,440","-1,470","-1,306","-1,526","-1,587","-2,946","3,602","-4,814","1,771","-2,230","-2,810","6,704","3,384","3,080","-9,895",287,"-2,023","-6,560","-3,360","-9,018","-14,182",-787,-807,"9,458","-2,256","6,850"
노루홀딩스,,"13,291,151",500,건축자재,'000320,"9,140","9,160","9,150","9,090","9,080",35.02,,0.26,-80.24,"7,713","8,360","8,843",,"2,466","2,308","2,136","1,897","2,197",,173,102,250,,132,119,-7,41,87,,620,27,199,,117,75,-1,58,48,,2.24,1.22,2.83,,5.36,5.15,-0.34,2.14,3.97,,11.67,-2.19,1.25,,-0.86,0.62,1.25,2.36,0.96,,71.19,75.81,77.52,,83.65,80.38,77.52,84.05,83.93,,"3,162",-607,339,,383,147,-71,178,8,,5.09,-20.17,36.82,,-52.77,68.88,36.82,12.23,35.53,,"36,584","35,053","35,058",,"35,065","35,481","35,058","35,132","35,072",,0.44,0.35,0.36,,0.36,0.33,0.36,0.22,0.26,,"9,140","9,160","9,130","9,130","9,160","9,110","9,130","9,180","9,190","9,350","9,460","9,520","9,500","9,390","9,380","9,430","9,230","9,200","9,320","9,310","3,298","2,100","3,501","5,729","5,707","9,421","7,922","16,086","11,453","9,645","18,915","25,763","17,824","6,787","18,190","13,530","7,862","16,443","3,704","4,545","-2,183",-443,-125,-409,"-3,617","-2,747","-3,133","-1,861",32,"-1,647",-86,"-1,098","-2,353","1,133","-6,742","-1,144","-1,150","-13,673",-949,-433,-299,99,"-1,321",-574,-273,"-3,104",-32,84,-906,365,-551,"-3,378","-3,730",613,"1,031","1,244",186,547,234,266
대동공업,,"23,728,210","1,000",기계,'000490,"6,630","6,520","6,700","6,480","6,470",27.06,,0.42,-37.69,"6,101","6,548","8,329",,"2,816","2,034","1,423","2,352","2,569",,172,52,245,,226,75,-166,163,265,,99,15,30,,174,24,-257,107,185,,2.81,0.8,2.94,,8.01,3.7,-11.67,6.94,10.31,,4.54,0.58,1.46,,5.47,9.26,1.46,2.27,2.06,,233.78,255.27,270,,274.63,270.57,270,288.6,186.64,,405,52,131,,733,106,"-1,076",450,765,,23.68,99.9,43.33,,11.27,7.8,43.33,19.13,24.87,,"10,292","10,224","10,324",,"11,364","11,538","10,324","10,855","15,859",,0.93,0.51,0.55,,0.53,0.61,0.55,0.38,0.38,,"6,630","6,520","6,350","6,290","6,590","6,570","6,260","6,040","6,040","6,480","6,410","6,920","7,150","7,190","7,160","7,320","7,180","7,310","7,160","7,290","154,306","105,921","198,757","276,833","243,192","241,915","156,529","283,182","538,401","256,593","366,509","443,667","240,602","364,054","386,016","821,310","328,599","873,853","303,205","416,512","3,816",-95,-19,-325,"-1,690","12,990",92,141,528,"-1,297",697,"3,078","18,716","-1,978","-16,906","-4,107","-5,870","-12,226","-2,922","3,973","11,003","19,418","37,421","-44,826","-32,737","17,530","14,337","7,961","32,104","53,619","4,645","-41,431","1,787","-18,898","-24,520","32,104","-23,584","41,934","-4,139","-2,047"
대상홀딩스,,"36,212,538","1,000",식품,'084690,"11,550","11,550","11,900","11,550","11,350",4.02,,0.67,24.96,"33,837","33,980","35,525",,"8,749","9,395","8,860","9,256","9,378",,"1,145","1,329","1,555",,395,510,216,603,754,,594,456,"1,382",,376,273,479,623,531,,3.38,3.91,4.38,,4.51,5.43,2.44,6.51,8.04,,5.16,4.55,13.07,,5.3,6.53,13.07,15.9,17.95,,147.02,140.19,139.5,,153.9,142.03,139.5,153.85,144.38,,699,632,"1,946",,397,378,870,784,839,,14.23,12.44,3.46,,9.52,7.39,3.46,2.16,2.81,,"13,705","14,078","15,703",,"14,673","15,152","15,703","16,324","17,312",,0.73,0.56,0.43,,0.49,0.47,0.43,0.32,0.47,,"11,550","11,550","11,650","11,800","12,750","11,800","11,100","10,400","10,200","10,900","9,450","9,250","9,290","9,520","9,200","8,720","8,570","8,760","8,850","8,860","307,991","373,343","565,809","783,528","1,057,545","739,450","803,398","2,020,453","1,187,144","2,290,996","1,106,371","192,197","203,238","412,710","396,985","152,608","181,416","137,364","162,739","293,838","1,515","8,511","-23,644","-11,644",221,"55,795","98,778","-1,392","117,246","67,607","48,140","1,385","-2,215","-1,451","-18,238","-24,498","-44,190","-4,583","-2,941","-4,916","-17,973","18,937","-13,675","-89,856","-16,281","18,436","38,784","-86,664","-33,669","86,865","97,934","17,972","-36,002",867,"83,985","29,442","-11,602","8,894","-15,954","71,621"
대성에너지,,"27,500,000","1,000",가스유틸리티,'117580,"5,030","5,020","5,040","5,040","4,990",9.84,,0.44,11.4,"7,660","7,710","7,749",,"1,340","1,061","2,398","2,973","1,381",,199,160,243,,-38,-50,139,157,19,,148,129,130,,-22,-66,71,119,16,,2.6,2.07,3.13,,-2.87,-4.73,5.82,5.28,1.41,,5.01,,4.28,,4.37,4.9,4.28,3.3,4.53,,115.14,116.51,127.49,,81.41,83.08,127.49,130.6,90.88,,540,469,474,,-81,-239,259,434,57,,11.17,11.52,11.06,,11.35,10.07,11.06,11.62,9.32,,"10,916","10,981","11,145",,"11,186","10,946","11,145","11,328","11,386",,0.55,0.49,0.47,,0.49,0.49,0.47,0.38,0.42,,"5,030","5,020","4,970","4,950","4,990","5,010","4,930","4,950","4,910","5,020","4,970","5,090","5,060","5,090","5,150","5,100","5,070","5,040","4,970","4,945","27,676","42,188","18,871","27,923","13,527","38,816","22,329","27,603","158,847","51,311","157,623","209,906","33,791","69,929","44,542","64,274","54,290","57,005","49,578","55,475",-11,-38,353,249,-16,-18,-18,112,15,1,-55,-61,"-3,037",-41,-75,-37,-70,-145,784,-186,"-2,954","8,452","2,967","-5,288","-4,007","8,152",103,"-3,148",-644,"13,496","1,078","-2,486","2,536","1,205","1,496","9,426",-413,"-2,475",20,"1,072"
대우부품,,"47,646,375",500,자동차부품,'009320,"2,515","2,390","2,550","2,395","2,395",N/A,,3.25,14.79,580,626,534,,126,131,140,143,181,,30,21,-10,,-2,-3,-8,1,6,,29,12,-25,,-7,-5,-16,-4,3,,5.14,3.39,-1.86,,-1.2,-2.54,-5.79,0.7,3.07,,7.91,2.98,-6.5,,-1.13,-2.88,-6.5,-8.39,-5.82,,77.48,80.2,109.78,,91.65,92.92,109.78,119.63,126.13,,61,24,-52,,-15,-11,-34,-8,6,,43.49,86.44,-40.38,,-265.89,-109.54,-40.41,-27.15,-53.76,,800,825,775,,819,808,775,768,774,,3.32,2.54,2.71,,3.01,3.19,2.71,2.38,3.22,,"2,515","2,390","2,380","2,370","2,435","2,420","2,310","2,290","2,250","2,390","2,355","2,540","2,480","2,395","2,460","2,520","2,420","2,395","2,415","2,425","3,377,664","1,075,907","742,205","627,222","744,218","960,165","511,045","578,765","1,046,863","730,058","1,847,289","2,074,600","8,542,734","923,835","935,057","2,727,521","671,200","470,536","445,134","982,309",-30,-66,687,436,-27,-43,-33,189,19,-409,-46,"-13,374","15,373",-558,-744,-38,-212,"-3,912",-274,-335,"474,376","82,875","145,414","-70,108","144,347","202,702","12,102","-49,474","69,653","63,063","-221,417","127,728","-48,561","-29,085","-85,242","109,201","73,003","-23,311","-26,102","14,033"
대창단조,,"2,857,223","5,000",기계,'015230,"25,850","25,750","25,850","25,800","25,400",5.12,,0.37,-37.69,"2,576","3,205","2,773",,780,647,586,701,566,,189,139,187,,63,44,35,60,50,,127,125,156,,51,48,16,61,33,,7.32,4.34,6.74,,8.11,6.81,6.02,8.55,8.77,,7.69,7.11,8.12,,7.87,8.94,8.12,9.11,7.95,,26.38,26.28,25.23,,24.91,26.32,25.23,29.57,22.99,,"4,295","4,201","5,054",,"1,663","1,533",484,"2,005","1,024",,9.6,7.12,5.71,,5.88,5.21,5.71,3.38,5.27,,"57,362","61,107","66,839",,"63,962","66,988","66,809","68,988","70,115",,0.72,0.49,0.43,,0.44,0.43,0.43,0.28,0.38,,"25,850","25,750","25,500","25,450","25,650","25,800","25,700","26,000","26,000","26,800","26,400","27,500","28,200","28,000","28,100","27,550","27,200","26,850","26,800","26,700","5,740","7,402","16,352","7,529","5,433","7,301","13,239","13,513","12,397","7,328","29,390","34,209","9,564","21,364","14,210","11,783","12,674","6,304","6,871","10,819",790,-311,"1,296","1,509","1,408","1,501",535,"3,786","1,486","2,861","-1,152","2,884","2,181","2,145","1,373",-712,797,"1,251","-1,506","-2,040",5,659,"-2,886","-1,263",-445,-601,"1,644",227,230,-299,"2,202","5,554","-1,644",581,-114,"1,975","1,607",742,81,"1,336"
도화엔지니어링,,"33,720,000",500,건설,'002150,"7,350","7,350","7,400","7,350","7,330",14.85,,0.97,6.45,"3,990","4,025","5,161",,"1,538","1,043","1,556","1,324","1,353",,165,173,271,,109,17,116,67,40,,117,138,174,,86,-28,88,78,28,,4.14,4.3,5.24,,7.11,1.59,7.47,5.05,2.93,,,5.69,6.93,,7.33,6.06,6.93,9.1,6.6,,39.37,51.13,61.92,,64.59,60.99,61.92,68.97,83.62,,347,409,516,,256,-82,262,231,84,,14.24,21.14,17.32,,20.69,25.4,17.32,10.72,15.95,,"6,992","7,422","7,537",,"7,544","7,463","7,537","7,515","7,601",,0.71,1.17,1.18,,1.48,1.51,1.18,0.95,1.04,,"7,350","7,350","7,390","7,390","7,420","7,520","7,430","7,450","7,320","7,650","7,610","7,960","8,130","8,240","8,430","8,040","8,020","8,120","8,010","7,990","64,936","59,960","48,932","76,312","65,665","60,900","45,861","64,417","131,106","89,383","197,989","163,835","126,415","195,944","645,372","104,357","101,970","146,698","107,632","99,034","-23,146","4,293","1,343","-12,786","-26,279","-15,516","-12,036",-245,"-10,516","-13,299","-25,172","-36,478","-2,734",347,"-50,968","-17,399","-11,480","-9,521","2,233","-2,105","-1,731",-59,"4,165",-438,"-2,789","4,641",-668,"18,251","-26,439",-445,"-38,205","-4,463","-15,401","-27,749","25,840","5,278","-26,515","45,454","-6,674","42,803"
